bukrs,belnr,gjahr,buzei,Review_Focus,Priority_Tier,Model_Anomaly_Count,IF_Label,LOF_Label,AE_Label,IF_Score,LOF_Score,AE_MSE_Error,HRF_IsOutsideBusinessHours,HRF_IsWeekend,HRF_IsRareTCodeForUser,HRF_IsMissingCostCenter,HRF_IsHighUserDev,HRF_IsHighAcctDev,HRF_IsHighValue,HRF_IsLowValue,blart,tcode,usnam_bkpf,racct,hsl,budat_bkpf
USA1,4900000160,2022,8,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Value; High User Deviation; High Account Deviation; Weekend Posting. | Process context: TCode=MB1C, User=BHUSHAN, Account=399999, DocType=WA.",1,3,-1,-1,-1,-0.084,-3.4076,3546.8771,0,1,0,0,TRUE,TRUE,TRUE,FALSE,WA,MB1C,BHUSHAN,399999,98979205396,02-04-2022
USA1,4900000160,2022,7,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Value; High User Deviation; High Account Deviation; Weekend Posting. | Process context: TCode=MB1C, User=BHUSHAN, Account=300000, DocType=WA.",1,3,-1,-1,-1,-0.0684,-3.4082,3526.4533,0,1,0,0,TRUE,TRUE,TRUE,FALSE,WA,MB1C,BHUSHAN,300000,-98979205396,02-04-2022
EU01,4900000099,2022,3,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation; Weekend Posting. | Process context: TCode=MB1C, User=BHUSHAN, Account=792000, DocType=WA.",1,3,-1,-1,-1,-0.0316,-7.5647,1.5255,0,1,0,0,FALSE,TRUE,FALSE,FALSE,WA,MB1C,BHUSHAN,792000,24043435.54,02-04-2022
EU01,4900000100,2022,1,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation; Weekend Posting. | Process context: TCode=MB1C, User=BHUSHAN, Account=792000, DocType=WA.",1,3,-1,-1,-1,-0.0316,-7.5647,1.5255,0,1,0,0,FALSE,TRUE,FALSE,FALSE,WA,MB1C,BHUSHAN,792000,24043435.54,02-04-2022
USA1,4900000164,2022,1,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation; Weekend Posting. | Process context: TCode=MB1C, User=BHUSHAN, Account=792000, DocType=WA.",1,3,-1,-1,-1,-0.0291,-7.6094,1.5152,0,1,0,0,FALSE,TRUE,FALSE,FALSE,WA,MB1C,BHUSHAN,792000,22600400,02-04-2022
EU01,4900000099,2022,4,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation; Weekend Posting. | Process context: TCode=MB1C, User=BHUSHAN, Account=799999, DocType=WA.",1,3,-1,-1,-1,-0.0186,-5.6392,1.3233,0,1,0,0,FALSE,TRUE,FALSE,FALSE,WA,MB1C,BHUSHAN,799999,-24043435.54,02-04-2022
EU01,4900000100,2022,2,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation; Weekend Posting. | Process context: TCode=MB1C, User=BHUSHAN, Account=799999, DocType=WA.",1,3,-1,-1,-1,-0.0186,-5.6392,1.3233,0,1,0,0,FALSE,TRUE,FALSE,FALSE,WA,MB1C,BHUSHAN,799999,-24043435.54,02-04-2022
USA1,4900000164,2022,2,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation; Weekend Posting. | Process context: TCode=MB1C, User=BHUSHAN, Account=799999, DocType=WA.",1,3,-1,-1,-1,-0.0162,-4.9995,1.3229,0,1,0,0,FALSE,TRUE,FALSE,FALSE,WA,MB1C,BHUSHAN,799999,-22600400,02-04-2022
USA1,5000000023,2019,2,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation; Off-Hours Posting. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=191100, DocType=WE.",1,3,-1,-1,-1,-0.026,-2084200502,1.0044,1,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,191100,-500,15-01-2019
USA1,5000000026,2019,2,"Flagged by ALL models (IF, LOF, AE). | Key Risk Flags: High Account Deviation. | Process context: TCode=MIGO_GR, User=VISHAKHA, Account=191100, DocType=WE.",1,3,-1,-1,-1,-0.026,-2084200502,1.0044,0,0,0,0,FALSE,TRUE,FALSE,FALSE,WE,MIGO_GR,VISHAKHA,191100,-500,20-01-2019
